name,serving_size,protein,carbohydrates,sugar,fiber,water,calories,total_fat
"Pork, raw, separable lean and fat, boneless, top loin (roasts), loin, fresh",100 g,21.34 g,0.00 g,0.00 g,0.0 g,70.14 g,166,8.3g
"Pork, braised, cooked, separable lean only, country-style ribs, loin, fresh",100 g,27.74 g,0.00 g,0.00 g,0.0 g,56.16 g,247,14g
"Corn, with salt, drained, boiled, kernels cut off cob, frozen, white, sweet",100 g,2.75 g,19.56 g,3.12 g,2.4 g,76.73 g,80,0.4g
"Waxgourd, without salt, drained, boiled, cooked, (chinese preserving melon)",100 g,0.40 g,3.04 g,1.18 g,1.0 g,96.06 g,14,0.2g
"Infant formula, Toddler ready-to-feed, Soy, Enfagrow, ENFAMIL, MEAD JOHNSON",100 g,2.17 g,7.64 g,7.64 g,0.0 g,86.67 g,65,2.9g
"Infant formula, 20 calories ready-to-feed, Premature, ENFAMIL, MEAD JOHNSON",100 g,1.97 g,7.21 g,7.20 g,0.0 g,87.78 g,66,3.3g
"Beef, raw, separable lean and fat, brisket point end, imported, New Zealand",100 g,20.05 g,0.00 g,0.00 g,0.0 g,70.11 g,163,9.2g
"Pork, pan-broil, heated, separable lean and fat, bone-in, slice, ham, cured",100 g,25.48 g,0.70 g,0.70 g,0.0 g,62.57 g,181,8.5g
"Gelatin desserts, no added sodium, with aspartame, reduced calorie, dry mix",100 g,55.30 g,33.30 g,0,0.0 g,6.70 g,345,0g
"Snacks, made with olestra, fat-free, made from dried potatoes, potato chips",100 g,5.06 g,56.00 g,0.59 g,7.3 g,2.63 g,253,0.9g
"Game meat, broiled, cooked, 1"" steak, separable lean only, top round, bison",100 g,30.18 g,0.00 g,0.00 g,0.0 g,65.08 g,174,5g
"Milk, without added vitamin A and vitamin D, 2% milkfat, fluid, reduced fat",100 g,3.30 g,4.80 g,5.06 g,0.0 g,89.21 g,50,2g
"Veal, roasted, cooked, separable lean only, whole (arm and blade), shoulder",100 g,25.81 g,0.00 g,0,0.0 g,66.66 g,170,6.6g
"Veal, braised, cooked, separable lean only, whole (arm and blade), shoulder",100 g,33.68 g,0.00 g,0,0.0 g,58.88 g,199,6.1g
"Shortening, soybean (hydrogenated), special purpose for cakes and frostings",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,884,100g
"Infant formula, ready-to-feed, with iron, GOOD START ESSENTIALS SOY, NESTLE",100 g,1.63 g,7.17 g,5.69 g,0.0 g,87.50 g,65,3.3g
"Cowpeas, plain, canned, mature seeds, common (blackeyes, crowder, southern)",100 g,4.74 g,13.63 g,0,3.3 g,79.63 g,77,0.6g
"Fast Foods, tomato and spread, with lettuce, grilled chicken filet sandwich",100 g,17.34 g,16.78 g,3.08 g,0.9 g,60.44 g,182,4.6g
"SUPPER BAKES MEAL KITS, Lemon Chicken with herb rice (chicken not included)",100 g,4.26 g,45.74 g,3.19 g,2.1 g,46.00 g,210,1.1g
"Leeks, without salt, drained, boiled, cooked, (bulb and lower leaf-portion)",100 g,0.81 g,7.62 g,2.11 g,1.0 g,90.80 g,31,0.2g
"Beverages, prepared with water, powder, breakfast type, orange-flavor drink",100 g,0.00 g,12.65 g,11.80 g,0.1 g,87.15 g,49,0g
"MORNINGSTAR FARMS Grillers Burger Style Recipe Crumbles, unprepared, frozen",100 g,18.50 g,8.30 g,1.10 g,5.6 g,65.90 g,135,4.3g
"Chicken, flour, fried, cooked, meat and skin, dark meat, broilers or fryers",100 g,27.22 g,4.08 g,0.00 g,0.0 g,50.82 g,285,17g
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, steak, flank",100 g,21.57 g,0.00 g,0.00 g,0.0 g,72.08 g,141,5.5g
"Apricots, solids and liquids, without skin, extra heavy syrup pack, canned",100 g,0.55 g,24.85 g,0,1.6 g,74.33 g,96,0g
"Beverages, Energy Drink with carbonated water and high fructose corn syrup",100 g,0.42 g,15.00 g,13.75 g,0.0 g,84.52 g,62,0g
"Formulated bar, SNICKERS MARATHON MULTIGRAIN CRUNCH BAR, MARS SNACKFOOD US",100 g,18.49 g,57.27 g,33.04 g,2.8 g,7.99 g,422,13g
"Balsam-pear (bitter gourd), with salt, drained, boiled, cooked, leafy tips",100 g,3.60 g,6.16 g,1.04 g,1.9 g,88.69 g,32,0.2g
"Pork, roasted, cooked, separable lean and fat, arm picnic, shoulder, fresh",100 g,23.47 g,0.00 g,0,0.0 g,52.04 g,317,24g
"Pork, braised, cooked, separable lean and fat, arm picnic, shoulder, fresh",100 g,24.88 g,0.00 g,0.00 g,0.0 g,60.03 g,235,14g
"Succotash, without salt, drained, boiled, cooked, frozen, (corn and limas)",100 g,4.31 g,19.95 g,2.21 g,4.1 g,74.10 g,93,0.9g
"Beef, raw, Aust. marble score 9, external fat, Wagyu, imported, Australian",100 g,5.54 g,0.97 g,0.00 g,0.0 g,25.17 g,639,68g
"Pork, roasted, cooked, separable lean and fat, rump half, leg (ham), fresh",100 g,27.03 g,0.00 g,0.00 g,0.0 g,61.92 g,209,10g
"KEEBLER, Mini Fudge Grahams Cookies, FUDGE SHOPPE, 100 Calorie RIGHT BITES",100 g,4.50 g,73.20 g,34.80 g,2.3 g,2.50 g,467,18g
"MORNINGSTAR FARMS Grillers Quarter Pound Veggie Burger, unprepared, frozen",100 g,22.80 g,8.90 g,0.60 g,2.5 g,55.60 g,219,11g
"MORNINGSTAR FARMS Hot and Spicy Veggie Sausage Patties, unprepared, frozen",100 g,21.80 g,8.50 g,0.20 g,2.3 g,59.80 g,185,7.4g
"Soup, prepared with equal volume water, canned, low sodium, chicken noodle",100 g,1.27 g,2.95 g,0.27 g,0.2 g,93.82 g,25,1g
"Milk, with added vitamin A and vitamin D (fat free or skim), fluid, nonfat",100 g,3.37 g,4.96 g,5.09 g,0.0 g,90.84 g,34,0.1g
"Coffeecake, unenriched, commercially prepared, cinnamon with crumb topping",100 g,6.80 g,46.70 g,0,2.0 g,21.90 g,418,23g
"Corn, solids and liquids, regular pack, whole kernel, canned, white, sweet",100 g,1.95 g,15.41 g,0,1.7 g,81.34 g,64,0.5g
"JIMMY DEAN, unprepared, frozen, and Cheese Breakfast Biscuit, Egg, Sausage",100 g,9.29 g,21.07 g,3.10 g,2.0 g,44.06 g,328,23g
"Beef, braised, cooked, separable lean and fat, flat, imported, New Zealand",100 g,31.86 g,0.00 g,0.00 g,0.0 g,54.29 g,252,14g
"Baking chocolate, M&M's Milk Chocolate Mini Baking Bits, MARS SNACKFOOD US",100 g,4.78 g,68.40 g,62.54 g,2.7 g,1.50 g,502,23g
"Pork, simmered, cooked, chitterlings, variety meats and by-products, fresh",100 g,12.49 g,0.00 g,0.00 g,0.0 g,67.87 g,233,20g
"Snacks, Crunchy Almond/Brown Sugar, KELLOGG'S Low Fat Granola Bar, KELLOGG",100 g,8.00 g,78.00 g,0,6.2 g,5.00 g,390,7.4g
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, steak, flank",100 g,21.22 g,0.00 g,0.00 g,0.0 g,71.99 g,145,6.1g
"Cereals, with salt, cooked with water, regular (10 minute), CREAM OF WHEAT",100 g,1.46 g,10.66 g,0.03 g,0.5 g,87.14 g,50,0.2g
"Beverages, prepared with whole milk, powder, chocolate-flavor beverage mix",100 g,3.23 g,11.91 g,0,0.4 g,80.79 g,85,3.2g
"Pasta, cooked, remaining unenriched semolina, 51% whole wheat, whole grain",100 g,5.82 g,31.51 g,0.85 g,4.6 g,60.72 g,159,1.5g
"Snacks, and E, C, with vitamins A, strawberry, SUNKIST Fruit Roll, SUNKIST",100 g,0.60 g,82.70 g,0,7.7 g,14.60 g,342,1g
"Cereals ready-to-eat, little bites, KELLOGG'S FROSTED MINI-WHEATS, KELLOGG",100 g,9.19 g,83.40 g,20.20 g,10.8 g,4.80 g,351,1.7g
"Fast Foods, skin and breading removed, meat only, Drumstick, Fried Chicken",100 g,26.24 g,0.00 g,0.00 g,0.0 g,64.24 g,172,7.4g
"Ice cream cone, flavors other than chocolate, with nuts, chocolate covered",100 g,5.21 g,34.38 g,25.00 g,1.0 g,37.43 g,354,22g
"Game meat, broiled, cooked, 1"" steak, separable lean only, top round, deer",100 g,31.47 g,0.00 g,0.00 g,0.0 g,66.10 g,152,1.9g
"Pork, raw, separable lean only, boneless, center loin (chops), loin, fresh",100 g,23.75 g,0.00 g,0.00 g,0.0 g,72.38 g,123,3.1g
"Peppers, with salt, drained, boiled, cooked, chopped, frozen, green, sweet",100 g,0.95 g,3.31 g,0,0.9 g,94.70 g,16,0.2g
"Soymilk, vitamins A and D, with added calcium, light, original and vanilla",100 g,2.38 g,3.51 g,2.61 g,0.3 g,92.69 g,30,0.8g
"Chicken, roasted, cooked, with added solution, meat only, thigh, dark meat",100 g,24.23 g,0.00 g,0.00 g,0.0 g,67.86 g,164,7.7g
"Chicken, braised, cooked, with added solution, meat only, thigh, dark meat",100 g,23.00 g,0.00 g,0.00 g,0.0 g,68.62 g,164,8g
"Orange juice, diluted with 3 volume water, unsweetened, frozen concentrate",100 g,0.60 g,8.80 g,7.42 g,0.2 g,90.07 g,37,0.1g
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, steak, flank",100 g,21.22 g,0.00 g,0.00 g,0.0 g,69.46 g,165,8.3g
"Turkey, roasted, with added solution, meat and skin, from whole bird, back",100 g,25.80 g,0.00 g,0.00 g,0.0 g,62.10 g,205,11g
"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean only, rib, domestic",100 g,19.98 g,0.00 g,0,0.0 g,70.44 g,169,9.2g
"Lima beans, without salt, boiled, cooked, mature seeds, thin seeded (baby)",100 g,8.04 g,23.31 g,0,7.7 g,67.15 g,126,0.4g
"Turnover, frozen, reduced fat, tomato-based sauce, meat- and cheese-filled",100 g,9.45 g,31.89 g,3.94 g,0.8 g,51.23 g,215,5.5g
"Pork, raw, separable lean and fat, boneless, top loin (chops), loin, fresh",100 g,21.55 g,0.00 g,0.00 g,0.0 g,70.38 g,155,6.9g
"Game meat, raw, trimmed to 0"" fat, separable lean only, top sirloin, bison",100 g,21.40 g,0.00 g,0,0,74.40 g,113,2.4g
"Formulated bar, Chocolate Blueberry Snack Bar, COCOAVIA, MARS SNACKFOOD US",100 g,6.21 g,57.87 g,33.40 g,4.6 g,20.10 g,325,9.3g
"Snacks, chocolate chip, milk chocolate coating, coated, soft, granola bars",100 g,5.80 g,63.80 g,0,3.4 g,3.60 g,466,25g
"POPEYES, skin and breading removed, meat only, Breast, Mild, Fried Chicken",100 g,28.98 g,0.00 g,0,0,64.77 g,157,4.5g
"KEEBLER, Fudge Dipped, Sandies Shortbread Cookies, 100 Calorie RIGHT BITES",100 g,4.10 g,72.40 g,27.00 g,13.2 g,2.50 g,462,20g
"Beans, without salt, drained, boiled, cooked, sprouted, mature seeds, navy",100 g,7.07 g,15.01 g,0,0,76.02 g,78,0.8g
"Candies, POP'ABLES 3 MUSKETEERS Brand Bite Size Candies, MARS SNACKFOOD US",100 g,2.59 g,75.94 g,67.00 g,1.3 g,5.30 g,443,15g
"MORNINGSTAR FARMS Pizza, unprepared, frozen, single serve, Baja Black Bean",100 g,10.60 g,36.90 g,3.30 g,5.2 g,44.90 g,235,6.9g
"Infant formula, not reconstituted, powder, low iron, ENFAMIL, MEAD JOHNSON",100 g,10.80 g,56.20 g,56.00 g,0.0 g,3.30 g,511,27g
"Milk, with added vitamin D and without added vitamin A, evaporated, canned",100 g,6.81 g,10.04 g,10.04 g,0.0 g,74.04 g,134,7.6g
"Cookies, chocolate-coated, regular, with creme filling, chocolate sandwich",100 g,3.60 g,66.40 g,49.58 g,5.2 g,2.00 g,481,26g
"Infant formula, prepared from powder, with iron, PREGESTIMIL, MEAD JOHNSON",100 g,1.82 g,6.63 g,6.63 g,0.0 g,87.50 g,67,3.7g
"Ice cream, added peanuts and chocolate sauce, cone, no sugar added, lowfat",100 g,5.33 g,40.01 g,10.67 g,9.3 g,43.85 g,265,9.3g
"Fast foods, large patty; with condiments and vegetables, hamburger; double",100 g,15.17 g,17.82 g,0,0,53.74 g,239,12g
"Fast foods, large patty; with condiments and vegetables, hamburger; single",100 g,11.85 g,18.35 g,0,0,55.70 g,235,13g
"Fast foods, ham on white bread with lettuce and tomato, submarine sandwich",100 g,9.12 g,22.91 g,3.54 g,1.3 g,63.26 g,151,2.5g
"Pork, simmered, cooked, frozen, ears, variety meats and by-products, fresh",100 g,15.95 g,0.20 g,0,0.0 g,72.65 g,166,11g
"Veal, not breaded, pan-fried, cooked, separable lean only, leg (top round)",100 g,33.17 g,0.00 g,0.00 g,0.0 g,60.68 g,183,4.6g
"Cowpeas (blackeyes), without salt, drained, boiled, cooked, immature seeds",100 g,3.17 g,20.32 g,3.23 g,5.0 g,75.48 g,97,0.4g
"CAMPBELL'S CHUNKY Soups, Grilled Sirloin Steak with Hearty Vegetables Soup",100 g,3.27 g,7.76 g,1.63 g,1.6 g,87.00 g,51,0.8g
"Toaster Pastries, Frosted strawberry, KELLOGG'S LOW FAT POP TARTS, KELLOGG",100 g,4.20 g,74.40 g,29.40 g,5.6 g,12.75 g,363,5.4g
"Sweet Potatoes, salt added in processing, frozen as packaged, french fried",100 g,2.16 g,35.58 g,12.90 g,5.7 g,51.97 g,182,8.9g
"Lamb, raw, separable lean only, square-cut shoulder, imported, New Zealand",100 g,19.72 g,0.00 g,0.00 g,0.0 g,72.51 g,154,8.3g
"Candies, milk chocolate, peanut butter, REESESTICKS crispy wafers, HERSHEY",100 g,9.53 g,55.38 g,40.33 g,3.3 g,1.60 g,521,31g
"Margarine-like, with salt, stick/tub/bottle, 60% fat, vegetable oil spread",100 g,0.60 g,0.00 g,0.00 g,0.0 g,38.68 g,526,59g
"Corn, solids and liquids, regular pack, brine pack, canned, yellow, sweet",100 g,1.95 g,13.86 g,4.15 g,1.7 g,82.61 g,61,0.8g
"Fish, cheeks and soft bones (Alaska Native), eyes, head, broad, whitefish",100 g,18.60 g,0.00 g,0,0,76.30 g,107,3.6g
"Beverages, with vitamin C added, low calorie, cranberry-apple juice drink",100 g,0.10 g,4.70 g,4.60 g,0.1 g,95.20 g,19,0g
"Yogurt, sweetened with low calorie sweetener, lowfat milk, vanilla flavor",100 g,4.93 g,13.80 g,5.43 g,0.0 g,79.00 g,86,1.3g
"Beans, with salt, drained, boiled, cooked, sprouted, mature seeds, kidney",100 g,4.83 g,4.72 g,0,0,89.30 g,33,0.6g
"Beef, braised, cooked, all grades, separable lean and fat, chuck for stew",100 g,32.41 g,0.00 g,0.00 g,0.0 g,60.08 g,191,6.8g
"Chicken, batter, fried, cooked, meat and skin, breast, broilers or fryers",100 g,24.84 g,8.99 g,0.00 g,0.3 g,51.64 g,260,13g
"Pineapple juice, with added ascorbic acid, unsweetened, canned or bottled",100 g,0.36 g,12.87 g,9.98 g,0.2 g,86.37 g,53,0.1g
"Cereals ready-to-eat, Honey Squares, FIBER ONE 80 Calories, GENERAL MILLS",100 g,4.80 g,85.19 g,10.80 g,38.5 g,2.20 g,248,2.6g
"Tofu, prepared with calcium sulfate and magnesium chloride (nigari), firm",100 g,9.04 g,2.85 g,0.60 g,0.9 g,82.93 g,78,4.2g
"Tofu, prepared with calcium sulfate and magnesium chloride (nigari), soft",100 g,7.17 g,1.18 g,0.70 g,0.2 g,87.26 g,61,3.7g
"Fast foods, and tomato on white bread, lettuce, bacon, submarine sandwich",100 g,10.06 g,26.66 g,3.61 g,1.6 g,55.03 g,205,6.4g
"Soup, prepared with equal volume water, canned, vegetable with beef broth",100 g,1.21 g,5.35 g,0.82 g,0.7 g,91.59 g,33,0.8g
"Cereals ready-to-eat, unfrosted bite size, KELLOGG'S MINI-WHEATS, KELLOGG",100 g,11.60 g,81.00 g,0.40 g,13.8 g,4.40 g,342,2g
"Crustaceans, raw (may have been previously frozen), mixed species, shrimp",100 g,13.61 g,0.91 g,0.00 g,0.0 g,83.01 g,71,1g
"Soup, prepared with equal volume water, canned, new england, clam chowder",100 g,1.55 g,5.05 g,0.19 g,0.3 g,90.89 g,35,1g
"Veal, breaded, pan-fried, cooked, separable lean and fat, leg (top round)",100 g,27.29 g,9.91 g,0.57 g,0.3 g,51.31 g,238,9.2g
"Infant formula, ready-to-feed, with iron, GOOD START 2 ESSENTIALS, NESTLE",100 g,1.70 g,8.54 g,6.19 g,0.0 g,86.60 g,65,2.7g
"Beans, without salt, boiled, cooked, mature seeds, california red, kidney",100 g,9.13 g,22.41 g,0,9.3 g,66.93 g,124,0.1g
"Frozen novelties, with nuts, chocolate or caramel covered, ice cream type",100 g,4.40 g,30.90 g,30.00 g,0.6 g,43.10 g,323,20g
"Margarine-like spread, SMART BALANCE Regular Buttery Spread with flax oil",100 g,0.14 g,0.14 g,0.00 g,0.0 g,33.95 g,583,65g
"Pork, raw, separable lean only, bone-in, center loin (chops), loin, fresh",100 g,21.99 g,0.00 g,0.00 g,0.0 g,73.62 g,127,3.7g
"Artichokes, with salt, drained, boiled, cooked, frozen, (globe or french)",100 g,3.11 g,9.18 g,0.84 g,4.6 g,86.50 g,45,0.5g
"POPEYES, skin and breading removed, meat only, Thigh, Mild, Fried Chicken",100 g,24.31 g,0.85 g,0,0,63.18 g,188,9.7g
"Snacks, peanut butter, milk chocolate coating, coated, soft, granola bars",100 g,10.20 g,53.40 g,23.74 g,2.8 g,3.20 g,508,31g
"Shortening, soy (partially hydrogenated ) and corn for frying, industrial",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,884,100g
"Bread, and eggs, 80% margarine, prepared with 2% milk, dry mix, cornbread",100 g,6.59 g,54.46 g,16.05 g,2.3 g,27.11 g,330,9.6g
"Mung beans, without salt, drained, boiled, cooked, sprouted, mature seeds",100 g,2.03 g,4.19 g,2.84 g,0.8 g,93.39 g,21,0.1g
"Cereals ready-to-eat, 25% Less Sugar CINNAMON TOAST CRUNCH, GENERAL MILLS",100 g,5.09 g,78.19 g,21.39 g,11.2 g,2.50 g,386,9.9g
"PREGO Pasta, ready-to-serve, Chunky Garden Mushroom Supreme Italian Sauce",100 g,1.54 g,10.00 g,7.69 g,2.3 g,78.80 g,69,2.3g
"Shortening cake mix, soybean (hydrogenated) and cottonseed (hydrogenated)",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,884,100g
"Snacks, unsalted nuts and seeds, with chocolate chips, regular, trail mix",100 g,14.20 g,44.90 g,0,0,6.60 g,484,32g
"Cereals ready-to-eat, with real strawberries, HONEY BUNCHES OF OATS, POST",100 g,6.70 g,83.30 g,24.00 g,5.4 g,2.90 g,399,4.9g
"Fish, dry heat (may have been previously frozen), cooked, Alaska, pollock",100 g,23.48 g,0.00 g,0.00 g,0.0 g,73.65 g,111,1.2g
"Chicken, braised, cooked, meat only, thigh, dark meat, broilers or fryers",100 g,24.55 g,0.00 g,0.00 g,0.0 g,66.87 g,176,8.6g
"Pork, roasted, heated, separable lean and fat, bone-in, shank, ham, cured",100 g,24.39 g,0.64 g,0.64 g,0.0 g,63.67 g,191,9.4g
"Infant formula, with ARA and DHA, powder, AR LIPIL, ENFAMIL, MEAD JOHNSON",100 g,12.73 g,56.03 g,56.03 g,0.0 g,3.00 g,509,26g
"Beef, raw, prime, trimmed to 1/8"" fat, separable lean and fat, tenderloin",100 g,18.15 g,0.00 g,0.00 g,0.0 g,59.52 g,274,22g
"LITTLE CAESARS 14"" Original Round Meat and Vegetable Pizza, Regular Crust",100 g,12.12 g,23.10 g,3.74 g,2.1 g,51.10 g,243,11g
"Pork, reduced sodium, pan-fried or roasted, broiled, cooked, bacon, cured",100 g,37.04 g,1.43 g,0.00 g,0.0 g,12.32 g,541,42g
"CAMPBELL'S Soup on the GO, HEALTHY REQUEST Chicken with Mini Noodles Soup",100 g,0.98 g,2.62 g,0.66 g,0.7 g,94.00 g,20,0.7g
"CAMPBELL'S Red and White, condensed, Beef with Vegetables and Barley Soup",100 g,3.97 g,11.90 g,1.59 g,2.4 g,80.60 g,71,1.2g
"Cream substitute, with hydrogenated vegetable oil and soy protein, liquid",100 g,1.00 g,11.38 g,11.38 g,0.0 g,77.27 g,136,10g
"Nuts, without salt, all flavors except macadamia, wheat-based, formulated",100 g,13.11 g,20.79 g,0,5.2 g,2.00 g,647,62g
"Lamb, braised, cooked, separable lean only, breast, imported, New Zealand",100 g,28.16 g,0.00 g,0.00 g,0.0 g,54.77 g,270,18g
"Beverages, fortified, ready to drink, milk and soy based, chocolate drink",100 g,4.22 g,17.30 g,8.44 g,1.3 g,75.82 g,101,1.7g
"Pudding, egg yolk and water, prepared with sugar, regular, dry mix, lemon",100 g,0.65 g,24.20 g,13.51 g,0.0 g,73.62 g,109,1.1g
"Cereals ready-to-eat, Wheat and Honey, Oats, 100% Natural Granola, QUAKER",100 g,10.55 g,73.65 g,20.34 g,10.2 g,2.19 g,421,12g
"Waxgourd, with salt, drained, boiled, cooked, (chinese preserving melon)",100 g,0.40 g,2.45 g,1.18 g,1.0 g,96.06 g,11,0.2g
"Turkey, roasted, with added solution, meat only, from whole bird, breast",100 g,26.97 g,0.00 g,0.00 g,0.0 g,70.18 g,127,2.1g
"Fast foods, large patty; with condiments and bacon, cheeseburger; single",100 g,15.78 g,18.89 g,4.63 g,1.3 g,46.85 g,282,16g
"Chicken, flour, fried, cooked, meat and skin, breast, broilers or fryers",100 g,31.84 g,1.64 g,0,0.1 g,56.59 g,222,8.9g
"Pork, roasted, cooked, separable lean only, shank half, leg (ham), fresh",100 g,28.69 g,0.00 g,0.00 g,0.0 g,65.28 g,175,5.8g
"PREGO Pasta, ready-to-serve, Heart Smart- Ricotta Parmesan Italian Sauce",100 g,2.40 g,10.40 g,8.00 g,2.4 g,83.00 g,72,2g
"Beverages, prepared with water, cereal grain beverage, coffee substitute",100 g,0.10 g,1.30 g,0.08 g,0.4 g,98.37 g,6,0g
"Chicken, batter, fried, cooked, meat and skin, thigh, broilers or fryers",100 g,21.61 g,9.08 g,0,0.3 g,51.50 g,277,17g
"Cereals, no salt, prepared with water, QUAKER MultiGrain Oatmeal, QUAKER",100 g,2.08 g,13.49 g,0,2.2 g,83.58 g,61,0.5g
"Juice, with added ascorbic acid and calcium, grape and pear blend, apple",100 g,0.17 g,12.96 g,9.95 g,0.2 g,86.44 g,52,0.1g
"Nuts, canned (liquid expressed from grated meat and water), coconut milk",100 g,2.02 g,2.81 g,0,0,72.88 g,197,21g
"POPEYES, skin and breading removed, meat only, Wing, Mild, Fried Chicken",100 g,28.94 g,2.90 g,0,0,55.85 g,212,9.4g
"Pasta, ANCIENT HARVEST, cooked, corn flour and quinoa flour, gluten-free",100 g,3.23 g,31.11 g,0.30 g,3.3 g,63.20 g,152,2.1g
"Beverages, non-carbonated, bottled, water, DASANI, The COCA-COLA company",100 g,0.00 g,0.00 g,0,0,99.96 g,0,0g
"Beef, raw, Aust. marble score 4/5, seam fat, Wagyu, imported, Australian",100 g,6.00 g,0.00 g,0,0.0 g,30.44 g,594,63g
"Pickles, low sodium (includes bread and butter pickles), sweet, cucumber",100 g,0.37 g,33.73 g,26.68 g,1.1 g,65.26 g,122,0.3g
"Nuts, frozen (liquid expressed from grated meat and water), coconut milk",100 g,1.61 g,5.58 g,0,0,71.42 g,202,21g
"Beverages, sweetened, milk based, light, vanilla, ready to drink, coffee",100 g,2.14 g,4.27 g,3.91 g,0.0 g,92.06 g,36,1.1g
"SUPPER BAKES MEAL KITS, Cheesy Chicken with pasta (chicken not included)",100 g,7.06 g,31.76 g,4.71 g,1.2 g,51.30 g,198,4.7g
"SUPPER BAKES MEAL KITS, Garlic Chicken with pasta (chicken not included)",100 g,9.76 g,42.93 g,6.83 g,2.0 g,42.00 g,220,1g
"Lamb, raw, separable lean and fat, boneless, loin, imported, New Zealand",100 g,21.44 g,0.00 g,0.00 g,0.0 g,74.37 g,122,4g
"Beef, raw, separable lean only, brisket navel end, imported, New Zealand",100 g,19.74 g,0.00 g,0.00 g,0.0 g,67.95 g,194,13g
"Grape juice, without added ascorbic acid, unsweetened, canned or bottled",100 g,0.37 g,14.77 g,14.20 g,0.2 g,84.51 g,60,0.1g
"CAMPBELL'S Red and White, condensed, DOUBLE NOODLE in Chicken Broth Soup",100 g,2.38 g,15.87 g,0.79 g,0.8 g,79.50 g,87,1.6g
"Shortening, soybean (hydrogenated) and palm (hydrogenated), multipurpose",100 g,0.00 g,0.00 g,0,0.0 g,0.00 g,884,100g
"Beverages, prepared with whole milk, powder, chocolate, Malted drink mix",100 g,3.37 g,11.20 g,6.68 g,0.5 g,81.34 g,85,3.3g
"Lamb, raw, separable lean and fat, boneless, flap, imported, New Zealand",100 g,16.17 g,0.27 g,0.00 g,0.0 g,54.39 g,337,30g
"Milk, with added vitamin A and vitamin D, 2% milkfat, fluid, reduced fat",100 g,3.30 g,4.80 g,5.06 g,0.0 g,89.21 g,50,2g
"Soymilk (all flavors), vitamins A and D, with added calcium, unsweetened",100 g,2.86 g,1.74 g,0.41 g,0.5 g,93.14 g,33,1.6g
"Turnip greens and turnips, without salt, drained, boiled, cooked, frozen",100 g,2.99 g,4.85 g,1.07 g,3.1 g,91.04 g,35,0.4g
"Cereals ready-to-eat, KELLOGG'S Low Fat Granola without Raisins, KELLOGG",100 g,8.70 g,80.90 g,28.30 g,7.0 g,3.50 g,389,5.7g
"KFC, meat and skin with breading, Drumstick, EXTRA CRISPY, Fried Chicken",100 g,20.62 g,7.96 g,0,0,51.44 g,274,18g
"KFC, meat and skin with breading, Breast, ORIGINAL RECIPE, Fried Chicken",100 g,21.94 g,6.28 g,0.00 g,0,56.16 g,231,13g
"Chicken, roasted, meat and skin and giblets and neck, broilers or fryers",100 g,26.78 g,0.06 g,0.00 g,0.0 g,60.11 g,234,13g
"Pork, pan-broil, heated, separable lean only, bone-in, slice, ham, cured",100 g,27.18 g,0.74 g,0.74 g,0.0 g,65.33 g,148,4.1g
"Cereals, without salt, prepared with water, plain, original, MALT-O-MEAL",100 g,1.67 g,10.09 g,0.13 g,0.3 g,88.29 g,48,0.1g
"Turnover, frozen, reduced fat, and vegetable-filled, chicken- or turkey-",100 g,7.87 g,21.74 g,3.94 g,3.1 g,63.32 g,168,5.5g
"Fish, drained solids with bone, canned in tomato sauce, Pacific, sardine",100 g,20.86 g,0.54 g,0.43 g,0.1 g,66.86 g,185,10g
"Margarine-like spread with yogurt, with salt, tub, approximately 40% fat",100 g,2.00 g,2.00 g,0.00 g,0.0 g,59.00 g,330,35g
"Apple juice, without added ascorbic acid, unsweetened, canned or bottled",100 g,0.10 g,11.30 g,9.62 g,0.2 g,88.24 g,46,0.1g
"Oil, canola (partially hydrogenated) oil for deep fat frying, industrial",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,884,100g
"Restaurant, Arroz con habichuelas colorados (Rice And Red Beans), Latino",100 g,3.96 g,23.74 g,0.15 g,2.6 g,67.27 g,142,3.5g
"Beans, with salt, drained, boiled, cooked, sprouted, mature seeds, pinto",100 g,1.86 g,3.50 g,0,0,93.39 g,20,0.3g
"Beans, with salt, drained, boiled, cooked, frozen, immature seeds, pinto",100 g,9.31 g,30.87 g,0,5.4 g,58.01 g,162,0.5g
"Cereals, without salt, cooked with water, whole wheat hot natural cereal",100 g,2.00 g,13.70 g,0.08 g,1.6 g,83.60 g,62,0.4g
"Pork, raw, separable lean only, boneless, top loin (roasts), loin, fresh",100 g,22.39 g,0.00 g,0.00 g,0.0 g,73.28 g,132,4.1g
"Mushrooms, raw, exposed to ultraviolet light, or crimini, italian, brown",100 g,2.50 g,4.30 g,1.72 g,0.6 g,92.12 g,22,0.1g
"Snacks, unenriched, cheese-flavor, puffs or twists, extruded, corn-based",100 g,5.76 g,54.10 g,2.76 g,2.2 g,1.50 g,558,36g
